---------------------------------------------
|    3 ≤ s ≤ 200    s < m < 300             |
|     m and s that did not match SCOTT      |
---------------------------------------------


m: 94  s: 25  | Scott alpha: 37/80  | other alpha: 1087/2350 | split:  V 
m: 119  s: 25  | Scott alpha: 683/1450  | other alpha: 1001/2125 | split:  V 
m: 167  s: 29  | Scott alpha: 1133/2378  | other alpha: 1741/3654 | split:  V 
m: 163  s: 31  | Scott alpha: 823/1736  | other alpha: 1117/2356 | split:  V 
m: 157  s: 33  | Scott alpha: 653/1386  | other alpha: 1073/2277 | split:  V 
m: 223  s: 33  | Scott alpha: 581/1210  | other alpha: 206/429 | split:  V 
m: 184  s: 35  | Scott alpha: 156/329  | other alpha: 551/1162 | split:  V 
m: 250  s: 37  | Scott alpha: 764/1591  | other alpha: 4069/8473 | split:  V 
m: 287  s: 37  | Scott alpha: 2537/5254  | other alpha: 268/555 | split:  V 
m: 283  s: 39  | Scott alpha: 1747/3627  | other alpha: 2536/5265 | split:  V 
m: 236  s: 41  | Scott alpha: 254/533  | other alpha: 51/107 | split:  V 
m: 277  s: 41  | Scott alpha: 1457/3034  | other alpha: 2737/5699 | split:  V 
m: 179  s: 42  | Scott alpha: 569/1218  | other alpha: 1125/2408 | split:  V 
m: 269  s: 43  | Scott alpha: 391/817  | other alpha: 5351/11180 | split:  V 
m: 177  s: 47  | Scott alpha: 1737/3760  | other alpha: 2497/5405 | split:  V 
m: 213  s: 50  | Scott alpha: 257/550  | other alpha: 4019/8600 | split:  V 
m: 263  s: 50  | Scott alpha: 1967/4150  | other alpha: 929/1960 | split:  V 
m: 147  s: 53  | Scott alpha: 1463/3286  | other alpha: 1581/3551 | split:  V 
m: 152  s: 55  | Scott alpha: 54/121  | other alpha: 279/625 | split:  V 
m: 207  s: 55  | Scott alpha: 1271/2750  | other alpha: 3127/6765 | split:  V 
m: 158  s: 57  | Scott alpha: 584/1311  | other alpha: 3809/8550 | split:  V 
m: 247  s: 58  | Scott alpha: 1003/2146  | other alpha: 5531/11832 | split:  V 
m: 222  s: 59  | Scott alpha: 300/649  | other alpha: 4801/10384 | split:  V 
m: 281  s: 59  | Scott alpha: 3611/7670  | other alpha: 6361/13511 | split:  V 
m: 169  s: 61  | Scott alpha: 1033/2318  | other alpha: 3317/7442 | split:  V 
m: 241  s: 64  | Scott alpha: 547/1184  | other alpha: 3637/7872 | split:  V 
m: 212  s: 65  | Scott alpha: 160/351  | other alpha: 5186/11375 | split:  V 
m: 191  s: 69  | Scott alpha: 923/2070  | other alpha: 4801/10764 | split:  V 
m: 197  s: 71  | Scott alpha: 2591/5822  | other alpha: 2749/6177 | split:  V 
m: 199  s: 72  | Scott alpha: 707/1584  | other alpha: 1939/4344 | split:  V 
m: 275  s: 73  | Scott alpha: 4113/8906  | other alpha: 6001/12994 | split:  V 
m: 297  s: 79  | Scott alpha: 1169/2528  | other alpha: 10781/23305 | split:  V 
m: 187  s: 82  | Scott alpha: 881/2050  | other alpha: 4687/10906 | split:  V 
m: 227  s: 82  | Scott alpha: 1097/2460  | other alpha: 8119/18204 | split:  V 
m: 189  s: 83  | Scott alpha: 1143/2656  | other alpha: 5251/12201 | split:  V 
m: 271  s: 83  | Scott alpha: 1399/3071  | other alpha: 8471/18592 | split:  V 
m: 233  s: 84  | Scott alpha: 617/1386  | other alpha: 8227/18480 | split:  V 
m: 281  s: 86  | Scott alpha: 509/1118  | other alpha: 3583/7869 | split:  V 
m: 287  s: 88  | Scott alpha: 361/792  | other alpha: 10191/22352 | split:  V 
m: 247  s: 89  | Scott alpha: 4039/9078  | other alpha: 4633/10413 | split:  V 
m: 207  s: 91  | Scott alpha: 1019/2366  | other alpha: 7486/17381 | split:  V 
m: 257  s: 93  | Scott alpha: 83/186  | other alpha: 3183/7130 | split:  V 
m: 263  s: 95  | Scott alpha: 1271/2850  | other alpha: 9109/20425 | split:  V 
m: 124  s: 97  | Scott alpha: 239/679  | other alpha: 4029/11446 | split:  V 
m: 269  s: 97  | Scott alpha: 2505/5626  | other alpha: 8293/18624 | split:  V 
m: 235  s: 103  | Scott alpha: 2743/6386  | other alpha: 7654/17819 | split:  V 
