---------------------------------------------
|        3 ≤ s ≤ 200    s < m < 250          |
|              SCOTT verified                |
|              time limit = 1000           |
|              m ≤ s*s                       |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
------------------------------------------------------------------------------------------------------

  4     |  3     |   FC                                         |  =      1/3     | runtime:  0.08
  5     |  3     |   FC                                         |  =      5/12    | runtime:  0.00
  7     |  3     |   FC                                         |  =      5/12    | runtime:  0.02
  8     |  3     |   FC                                         |  =      4/9     | runtime:  0.00
  5     |  4     |   FC                                         |  =      3/8     | runtime:  0.00
  7     |  4     |   FC                                         |  =      5/12    | runtime:  0.00
  9     |  4     |   FC                                         |  =      7/16    | runtime:  0.00
  11    |  4     |   FC                                         |  =      9/20    | runtime:  0.00
  13    |  4     |   FC                                         |  =     11/24    | runtime:  0.00
  15    |  4     |   FC                                         |  =     13/28    | runtime:  0.02
  6     |  5     |   FC                                         |  =      2/5     | runtime:  0.00
  7     |  5     |   FC                                         |  =      1/3     | runtime:  0.00
  8     |  5     |   FC                                         |  =      2/5     | runtime:  0.00
  9     |  5     |   FC                                         |  =      2/5     | runtime:  0.00
  11    |  5     |       INT                                    |  =     13/30    | runtime:  0.02
  12    |  5     |   FC                                         |  =      2/5     | runtime:  0.01
  13    |  5     |   FC                                         |  =     13/30    | runtime:  0.00
  14    |  5     |   FC                                         |  =     11/25    | runtime:  0.00
  16    |  5     |   FC                                         |  =     16/35    | runtime:  0.00
  17    |  5     |   FC                                         |  =     13/30    | runtime:  0.00
  18    |  5     |   FC                                         |  =      9/20    | runtime:  0.00
  19    |  5     |   FC                                         |  =     16/35    | runtime:  0.00
  21    |  5     |   FC                                         |  =      7/15    | runtime:  0.00
  22    |  5     |   FC                                         |  =      9/20    | runtime:  0.02
  23    |  5     |   FC                                         |  =     23/50    | runtime:  0.00
  24    |  5     |   FC                                         |  =      7/15    | runtime:  0.00
  7     |  6     |       INT                                    |  =      1/3     | runtime:  0.00
  11    |  6     |   FC                                         |  =      7/18    | runtime:  0.00
  13    |  6     |   FC                                         |  =     13/30    | runtime:  0.00
  17    |  6     |   FC                                         |  =     13/30    | runtime:  0.00
  19    |  6     |   FC                                         |  =     19/42    | runtime:  0.02
  23    |  6     |   FC                                         |  =     19/42    | runtime:  0.00
  25    |  6     |   FC                                         |  =     25/54    | runtime:  0.00
  29    |  6     |   FC                                         |  =     25/54    | runtime:  0.00
  31    |  6     |   FC                                         |  =     31/66    | runtime:  0.00
  35    |  6     |   FC                                         |  =     31/66    | runtime:  0.00
  8     |  7     |       INT                                    |  =      5/14    | runtime:  0.00
  9     |  7     |   FC                                         |  =      5/14    | runtime:  0.02
  10    |  7     |   FC                                         |  =      1/3     | runtime:  0.00
  11    |  7     |   FC                                         |  =     11/28    | runtime:  0.00
  12    |  7     |   FC                                         |  =      3/7     | runtime:  0.00
  13    |  7     |   FC                                         |  =      8/21    | runtime:  0.00
  15    |  7     |   FC                                         |  =      3/7     | runtime:  0.00
  16    |  7     |   FC                                         |  =      3/7     | runtime:  0.00
  17    |  7     |   FC                                         |  =     11/28    | runtime:  0.00
  18    |  7     |   FC                                         |  =      3/7     | runtime:  0.02
