---------------------------------------------
|    3 ≤ s ≤ 100    s < m < 250             |
|     m and s that did not match SCOTT      |
---------------------------------------------


m: 15  s: 11  | Scott alpha: 1/3  | other alpha: 7/22 | split:  V 
m: 16  s: 11  | Scott alpha: 1/3  | other alpha: 3/11 | split:  V 
m: 17  s: 12  | Scott alpha: 1/3  | other alpha: 7/24 | split:  V 
m: 18  s: 13  | Scott alpha: 1/3  | other alpha: 4/13 | split:  V 
m: 19  s: 13  | Scott alpha: 1/3  | other alpha: 7/26 | split:  V 
m: 19  s: 14  | Scott alpha: 1/3  | other alpha: 9/28 | split:  V 
m: 22  s: 15  | Scott alpha: 1/3  | other alpha: 4/15 | split:  V 
m: 23  s: 16  | Scott alpha: 1/3  | other alpha: 9/32 | split:  V 
m: 23  s: 17  | Scott alpha: 1/3  | other alpha: 11/34 | split:  V 
m: 24  s: 17  | Scott alpha: 1/3  | other alpha: 5/17 | split:  V 
m: 25  s: 17  | Scott alpha: 1/3  | other alpha: 9/34 | split:  V 
m: 25  s: 18  | Scott alpha: 1/3  | other alpha: 11/36 | split:  V 
m: 26  s: 19  | Scott alpha: 1/3  | other alpha: 6/19 | split:  V 
m: 27  s: 19  | Scott alpha: 1/3  | other alpha: 11/38 | split:  V 
m: 28  s: 19  | Scott alpha: 1/3  | other alpha: 5/19 | split:  V 
m: 27  s: 20  | Scott alpha: 1/3  | other alpha: 13/40 | split:  V 
m: 29  s: 20  | Scott alpha: 1/3  | other alpha: 11/40 | split:  V 
m: 29  s: 21  | Scott alpha: 1/3  | other alpha: 13/42 | split:  V 
m: 31  s: 21  | Scott alpha: 1/3  | other alpha: 11/42 | split:  V 
m: 31  s: 22  | Scott alpha: 1/3  | other alpha: 13/44 | split:  V 
m: 31  s: 23  | Scott alpha: 1/3  | other alpha: 15/46 | split:  V 
m: 32  s: 23  | Scott alpha: 1/3  | other alpha: 7/23 | split:  V 
m: 33  s: 23  | Scott alpha: 1/3  | other alpha: 13/46 | split:  V 
m: 34  s: 23  | Scott alpha: 1/3  | other alpha: 6/23 | split:  V 
m: 35  s: 24  | Scott alpha: 1/3  | other alpha: 13/48 | split:  V 
m: 34  s: 25  | Scott alpha: 1/3  | other alpha: 8/25 | split:  V 
m: 36  s: 25  | Scott alpha: 1/3  | other alpha: 7/25 | split:  V 
m: 37  s: 25  | Scott alpha: 1/3  | other alpha: 13/50 | split:  V 
m: 94  s: 25  | Scott alpha: 37/80  | other alpha: 1087/2350 | split:  V 
m: 119  s: 25  | Scott alpha: 683/1450  | other alpha: 1001/2125 | split:  V 
m: 35  s: 26  | Scott alpha: 1/3  | other alpha: 17/52 | split:  V 
m: 37  s: 26  | Scott alpha: 1/3  | other alpha: 15/52 | split:  V 
m: 37  s: 27  | Scott alpha: 1/3  | other alpha: 17/54 | split:  V 
m: 38  s: 27  | Scott alpha: 1/3  | other alpha: 8/27 | split:  V 
m: 40  s: 27  | Scott alpha: 1/3  | other alpha: 7/27 | split:  V 
m: 39  s: 28  | Scott alpha: 1/3  | other alpha: 17/56 | split:  V 
m: 41  s: 28  | Scott alpha: 1/3  | other alpha: 15/56 | split:  V 
m: 39  s: 29  | Scott alpha: 1/3  | other alpha: 19/58 | split:  V 
m: 40  s: 29  | Scott alpha: 1/3  | other alpha: 9/29 | split:  V 
m: 41  s: 29  | Scott alpha: 1/3  | other alpha: 17/58 | split:  V 
m: 42  s: 29  | Scott alpha: 1/3  | other alpha: 8/29 | split:  V 
m: 43  s: 29  | Scott alpha: 1/3  | other alpha: 15/58 | split:  V 
m: 167  s: 29  | Scott alpha: 1133/2378  | other alpha: 1741/3654 | split:  V 
m: 41  s: 30  | Scott alpha: 1/3  | other alpha: 19/60 | split:  V 
m: 43  s: 30  | Scott alpha: 1/3  | other alpha: 17/60 | split:  V 
m: 42  s: 31  | Scott alpha: 1/3  | other alpha: 10/31 | split:  V 
m: 43  s: 31  | Scott alpha: 1/3  | other alpha: 19/62 | split:  V 
m: 44  s: 31  | Scott alpha: 1/3  | other alpha: 9/31 | split:  V 
m: 45  s: 31  | Scott alpha: 1/3  | other alpha: 17/62 | split:  V 
m: 46  s: 31  | Scott alpha: 1/3  | other alpha: 8/31 | split:  V 
m: 163  s: 31  | Scott alpha: 823/1736  | other alpha: 1117/2356 | split:  V 
m: 43  s: 32  | Scott alpha: 1/3  | other alpha: 21/64 | split:  V 
m: 45  s: 32  | Scott alpha: 1/3  | other alpha: 19/64 | split:  V 
m: 47  s: 32  | Scott alpha: 1/3  | other alpha: 17/64 | split:  V 
m: 46  s: 33  | Scott alpha: 1/3  | other alpha: 10/33 | split:  V 
m: 47  s: 33  | Scott alpha: 1/3  | other alpha: 19/66 | split:  V 
m: 49  s: 33  | Scott alpha: 1/3  | other alpha: 17/66 | split:  V 
m: 157  s: 33  | Scott alpha: 653/1386  | other alpha: 1073/2277 | split:  V 
m: 223  s: 33  | Scott alpha: 581/1210  | other alpha: 206/429 | split:  V 
m: 47  s: 34  | Scott alpha: 1/3  | other alpha: 21/68 | split:  V 
