---------------------------------------------
|        3 ≤ s ≤ 100    s < m < 250          |
|              SCOTT verified                |
|              time limit = 1000           |
|              m ≤ s*s                       |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
  31    |  8     |   FC                            GAP          |  =     25/56    | runtime:  0.03
  33    |  8     |   FC                            GAP          |  =     11/24    | runtime:  0.03
  35    |  8     |   FC                            GAP          |  =     29/64    | runtime:  0.03
  37    |  8     |   FC                            GAP          |  =     37/80    | runtime:  0.04
  39    |  8     |   FC                            GAP          |  =     11/24    | runtime:  0.04
  41    |  8     |   FC                            GAP          |  =     41/88    | runtime:  0.03
  43    |  8     |   FC                            GAP          |  =     37/80    | runtime:  0.03
  45    |  8     |   FC                            GAP          |  =     15/32    | runtime:  0.04
  47    |  8     |   FC                            GAP          |  =     41/88    | runtime:  0.04
  49    |  8     |   FC                            GAP          |  =     49/104   | runtime:  0.03
  51    |  8     |   FC                            GAP          |  =     15/32    | runtime:  0.04
  53    |  8     |   FC                            GAP          |  =     53/112   | runtime:  0.05
  55    |  8     |   FC                            GAP          |  =     49/104   | runtime:  0.06
  57    |  8     |   FC                            GAP          |  =     19/40    | runtime:  0.06
  59    |  8     |   FC                            GAP          |  =     53/112   | runtime:  0.06
  61    |  8     |   FC                            GAP          |  =     61/128   | runtime:  0.05
  63    |  8     |   FC                            GAP          |  =     19/40    | runtime:  0.06
  10    |  9     |       INT        EBM            GAP          |  =      1/3     | runtime:  0.01
  11    |  9     |       INT  HALF  EBM  HBM  MID  GAP          |  =     13/36    | runtime:  0.02
  13    |  9     |   FC             EBM            GAP          |  =      1/3     | runtime:  0.02
  14    |  9     |   FC                            GAP          |  =      7/18    | runtime:  0.02
  16    |  9     |   FC  INT                  MID  GAP          |  =     11/27    | runtime:  0.02
  17    |  9     |   FC                            GAP          |  =     10/27    | runtime:  0.01
  19    |  9     |   FC                            GAP          |  =     19/45    | runtime:  0.02
  20    |  9     |   FC                                         |  =      4/9     | runtime:  0.02
  22    |  9     |   FC                            GAP          |  =      7/18    | runtime:  0.02
  23    |  9     |   FC                            GAP          |  =     23/54    | runtime:  0.02
  25    |  9     |   FC                            GAP          |  =      4/9     | runtime:  0.01
  26    |  9     |   FC                            GAP          |  =     19/45    | runtime:  0.02
  28    |  9     |   FC                            GAP          |  =      4/9     | runtime:  0.02
  29    |  9     |       INT  HALF            MID  GAP          |  =     41/90    | runtime:  0.01
  31    |  9     |   FC                            GAP          |  =     23/54    | runtime:  0.03
  32    |  9     |   FC                            GAP          |  =      4/9     | runtime:  0.03
  34    |  9     |   FC                            GAP          |  =     29/63    | runtime:  0.02
  35    |  9     |   FC                            GAP          |  =      4/9     | runtime:  0.03
  37    |  9     |   FC                            GAP          |  =     37/81    | runtime:  0.04
  38    |  9     |       INT  HALF            MID  GAP          |  =     59/126   | runtime:  0.02
  40    |  9     |   FC                            GAP          |  =      4/9     | runtime:  0.04
  41    |  9     |   FC                            GAP          |  =     41/90    | runtime:  0.04
  43    |  9     |   FC                            GAP          |  =     38/81    | runtime:  0.02
  44    |  9     |   FC                            GAP          |  =     37/81    | runtime:  0.04
  46    |  9     |   FC                            GAP          |  =     46/99    | runtime:  0.03
  47    |  9     |       INT                  MID  GAP          |  =     37/78    | runtime:  0.03
  49    |  9     |   FC                            GAP          |  =     41/90    | runtime:  0.04
  50    |  9     |   FC                            GAP          |  =     25/54    | runtime:  0.04
  52    |  9     |   FC                            GAP          |  =     47/99    | runtime:  0.03
  53    |  9     |   FC                            GAP          |  =     46/99    | runtime:  0.07
  55    |  9     |   FC                            GAP          |  =     55/117   | runtime:  0.04
  56    |  9     |   FC  INT                  MID  GAP  TRAIN   |  =     56/117   | runtime:  0.02
  58    |  9     |   FC                            GAP          |  =     25/54    | runtime:  0.05
