---------------------------------------------
|        3 ≤ s ≤ 100    s < m < 110          |
|               PROC verified                |
|              time limit = 660            |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
  51    |  4     |   FC  INT  HALF            MID  GAP          |  =     49/100   |   0.01 
  53    |  4     |   FC  INT  HALF            MID  GAP          |  =     51/104   |   0.01 
  55    |  4     |   FC  INT  HALF            MID  GAP          |  =     53/108   |   0.02 
  57    |  4     |   FC  INT  HALF            MID  GAP          |  =     55/112   |   0.01 
  59    |  4     |   FC  INT  HALF            MID  GAP          |  =     57/116   |   0.01 
  61    |  4     |   FC  INT  HALF            MID  GAP          |  =     59/120   |   0.01 
  63    |  4     |   FC  INT  HALF            MID  GAP          |  =     61/124   |   0.01 
  65    |  4     |   FC  INT  HALF            MID  GAP          |  =     63/128   |   0.01 
  67    |  4     |   FC  INT  HALF            MID  GAP          |  =     65/132   |   0.01 
  69    |  4     |   FC  INT  HALF            MID  GAP          |  =     67/136   |   0.01 
  71    |  4     |   FC  INT  HALF            MID  GAP          |  =     69/140   |   0.01 
  73    |  4     |   FC  INT  HALF            MID  GAP          |  =     71/144   |   0.01 
  75    |  4     |   FC  INT  HALF            MID  GAP          |  =     73/148   |   0.01 
  77    |  4     |   FC  INT  HALF            MID  GAP          |  =     75/152   |   0.01 
  79    |  4     |   FC  INT  HALF            MID  GAP          |  =     77/156   |   0.01 
  81    |  4     |   FC  INT  HALF            MID  GAP          |  =     79/160   |   0.01 
  83    |  4     |   FC  INT  HALF            MID  GAP          |  =     81/164   |   0.01 
  85    |  4     |   FC  INT  HALF            MID  GAP          |  =     83/168   |   0.02 
  87    |  4     |   FC  INT  HALF            MID  GAP          |  =     85/172   |   0.01 
  89    |  4     |   FC  INT  HALF            MID  GAP          |  =     87/176   |   0.02 
  91    |  4     |   FC  INT  HALF            MID  GAP          |  =     89/180   |   0.01 
  93    |  4     |   FC  INT  HALF            MID  GAP          |  =     91/184   |   0.01 
  95    |  4     |   FC  INT  HALF            MID  GAP          |  =     93/188   |   0.02 
  97    |  4     |   FC  INT  HALF            MID  GAP          |  =     95/192   |   0.02 
  99    |  4     |   FC  INT  HALF            MID  GAP          |  =     97/196   |   0.02 
  101   |  4     |   FC  INT  HALF            MID  GAP          |  =     99/200   |   0.02 
  103   |  4     |   FC  INT  HALF            MID  GAP          |  =    101/204   |   0.02 
  105   |  4     |   FC  INT  HALF            MID  GAP          |  =    103/208   |   0.02 
  107   |  4     |   FC  INT  HALF            MID  GAP          |  =    105/212   |   0.02 
  109   |  4     |   FC  INT  HALF            MID  GAP          |  =    107/216   |   0.02 
  6     |  5     |   FC                       MID  GAP          |  =      2/5     |   0.03 
  7     |  5     |   FC             EBM                         |  =      1/3     |   0.03 
  8     |  5     |   FC                                         |  =      2/5     |   0.00 
  9     |  5     |   FC                                         |  =      2/5     |   0.00 
  11    |  5     |       INT  HALF            MID  GAP          |  =     13/30    |   0.01 
  12    |  5     |   FC                                         |  =      2/5     |   0.04 
  13    |  5     |   FC                                         |  =     13/30    |   0.01 
  14    |  5     |   FC                                         |  =     11/25    |   0.04 
