   M   |   S   |   Method   |      α   
---------------------------------------
   4   |   3    |     FC     |  = 1/3     | runtime:  0.10

   5   |   3    |     FC     |  = 5/12     | runtime:  0.00

   7   |   3    |     FC     |  = 5/12     | runtime:  0.00

   8   |   3    |     FC     |  = 4/9     | runtime:  0.00

   10   |   3    |     FC     |  = 4/9     | runtime:  0.00

   11   |   3    |     FC     |  = 11/24     | runtime:  0.00

   13   |   3    |     FC     |  = 11/24     | runtime:  0.00

   14   |   3    |     FC     |  = 7/15     | runtime:  0.00

   16   |   3    |     FC     |  = 7/15     | runtime:  0.00

   17   |   3    |     FC     |  = 17/36     | runtime:  0.00

   19   |   3    |     FC     |  = 17/36     | runtime:  0.00

   20   |   3    |     FC     |  = 10/21     | runtime:  0.00

   22   |   3    |     FC     |  = 10/21     | runtime:  0.00

   23   |   3    |     FC     |  = 23/48     | runtime:  0.00

   25   |   3    |     FC     |  = 23/48     | runtime:  0.00

   26   |   3    |     FC     |  = 13/27     | runtime:  0.00

   28   |   3    |     FC     |  = 13/27     | runtime:  0.00

   29   |   3    |     FC     |  = 29/60     | runtime:  0.00

   31   |   3    |     FC     |  = 29/60     | runtime:  0.00

   32   |   3    |     FC     |  = 16/33     | runtime:  0.00

   34   |   3    |     FC     |  = 16/33     | runtime:  0.00

   35   |   3    |     FC     |  = 35/72     | runtime:  0.00

   37   |   3    |     FC     |  = 35/72     | runtime:  0.00

   38   |   3    |     FC     |  = 19/39     | runtime:  0.00

   40   |   3    |     FC     |  = 19/39     | runtime:  0.00

   41   |   3    |     FC     |  = 41/84     | runtime:  0.00

   43   |   3    |     FC     |  = 41/84     | runtime:  0.00

   44   |   3    |     FC     |  = 22/45     | runtime:  0.00

   46   |   3    |     FC     |  = 22/45     | runtime:  0.00

   47   |   3    |     FC     |  = 47/96     | runtime:  0.00

   49   |   3    |     FC     |  = 47/96     | runtime:  0.00

   50   |   3    |     FC     |  = 25/51     | runtime:  0.00

   52   |   3    |     FC     |  = 25/51     | runtime:  0.00

   53   |   3    |     FC     |  = 53/108     | runtime:  0.00

   55   |   3    |     FC     |  = 53/108     | runtime:  0.00

   56   |   3    |     FC     |  = 28/57     | runtime:  0.00

   58   |   3    |     FC     |  = 28/57     | runtime:  0.00

   59   |   3    |     FC     |  = 59/120     | runtime:  0.00

   61   |   3    |     FC     |  = 59/120     | runtime:  0.00

   62   |   3    |     FC     |  = 31/63     | runtime:  0.00

   64   |   3    |     FC     |  = 31/63     | runtime:  0.00

   65   |   3    |     FC     |  = 65/132     | runtime:  0.00

   67   |   3    |     FC     |  = 65/132     | runtime:  0.00

   68   |   3    |     FC     |  = 34/69     | runtime:  0.00

   70   |   3    |     FC     |  = 34/69     | runtime:  0.00

   71   |   3    |     FC     |  = 71/144     | runtime:  0.00

   73   |   3    |     FC     |  = 71/144     | runtime:  0.00

   74   |   3    |     FC     |  = 37/75     | runtime:  0.00

   76   |   3    |     FC     |  = 37/75     | runtime:  0.00

   77   |   3    |     FC     |  = 77/156     | runtime:  0.00

   79   |   3    |     FC     |  = 77/156     | runtime:  0.00

   80   |   3    |     FC     |  = 40/81     | runtime:  0.00

   82   |   3    |     FC     |  = 40/81     | runtime:  0.00

   83   |   3    |     FC     |  = 83/168     | runtime:  0.00

   85   |   3    |     FC     |  = 83/168     | runtime:  0.00

   86   |   3    |     FC     |  = 43/87     | runtime:  0.00

   88   |   3    |     FC     |  = 43/87     | runtime:  0.00

   89   |   3    |     FC     |  = 89/180     | runtime:  0.00

   91   |   3    |     FC     |  = 89/180     | runtime:  0.00

   92   |   3    |     FC     |  = 46/93     | runtime:  0.00

   94   |   3    |     FC     |  = 46/93     | runtime:  0.00

   95   |   3    |     FC     |  = 95/192     | runtime:  0.00

   97   |   3    |     FC     |  = 95/192     | runtime:  0.00

   98   |   3    |     FC     |  = 49/99     | runtime:  0.00

   100   |   3    |     FC     |  = 49/99     | runtime:  0.00

   101   |   3    |     FC     |  = 101/204     | runtime:  0.00

   103   |   3    |     FC     |  = 101/204     | runtime:  0.00

   104   |   3    |     FC     |  = 52/105     | runtime:  0.00

   106   |   3    |     FC     |  = 52/105     | runtime:  0.00

   107   |   3    |     FC     |  = 107/216     | runtime:  0.00

   109   |   3    |     FC     |  = 107/216     | runtime:  0.00

   110   |   3    |     FC     |  = 55/111     | runtime:  0.00

   112   |   3    |     FC     |  = 55/111     | runtime:  0.00

   113   |   3    |     FC     |  = 113/228     | runtime:  0.00

   115   |   3    |     FC     |  = 113/228     | runtime:  0.00

   116   |   3    |     FC     |  = 58/117     | runtime:  0.00

   118   |   3    |     FC     |  = 58/117     | runtime:  0.00

   119   |   3    |     FC     |  = 119/240     | runtime:  0.00

   121   |   3    |     FC     |  = 119/240     | runtime:  0.00

   122   |   3    |     FC     |  = 61/123     | runtime:  0.00

   124   |   3    |     FC     |  = 61/123     | runtime:  0.00

   125   |   3    |     FC     |  = 125/252     | runtime:  0.00

   127   |   3    |     FC     |  = 125/252     | runtime:  0.00

   128   |   3    |     FC     |  = 64/129     | runtime:  0.00

   130   |   3    |     FC     |  = 64/129     | runtime:  0.00

   131   |   3    |     FC     |  = 131/264     | runtime:  0.00

   133   |   3    |     FC     |  = 131/264     | runtime:  0.00

   134   |   3    |     FC     |  = 67/135     | runtime:  0.00

   136   |   3    |     FC     |  = 67/135     | runtime:  0.00

   137   |   3    |     FC     |  = 137/276     | runtime:  0.00

   139   |   3    |     FC     |  = 137/276     | runtime:  0.00

   140   |   3    |     FC     |  = 70/141     | runtime:  0.00

   142   |   3    |     FC     |  = 70/141     | runtime:  0.00

   143   |   3    |     FC     |  = 143/288     | runtime:  0.00

   145   |   3    |     FC     |  = 143/288     | runtime:  0.00

   146   |   3    |     FC     |  = 73/147     | runtime:  0.00

   148   |   3    |     FC     |  = 73/147     | runtime:  0.00

   149   |   3    |     FC     |  = 149/300     | runtime:  0.00

   151   |   3    |     FC     |  = 149/300     | runtime:  0.00

   152   |   3    |     FC     |  = 76/153     | runtime:  0.00

   154   |   3    |     FC     |  = 76/153     | runtime:  0.00

   155   |   3    |     FC     |  = 155/312     | runtime:  0.00

   157   |   3    |     FC     |  = 155/312     | runtime:  0.00

   158   |   3    |     FC     |  = 79/159     | runtime:  0.00

   160   |   3    |     FC     |  = 79/159     | runtime:  0.00

   161   |   3    |     FC     |  = 161/324     | runtime:  0.00

   163   |   3    |     FC     |  = 161/324     | runtime:  0.00

   164   |   3    |     FC     |  = 82/165     | runtime:  0.00

   166   |   3    |     FC     |  = 82/165     | runtime:  0.00

   167   |   3    |     FC     |  = 167/336     | runtime:  0.00

   169   |   3    |     FC     |  = 167/336     | runtime:  0.00

   170   |   3    |     FC     |  = 85/171     | runtime:  0.00

   172   |   3    |     FC     |  = 85/171     | runtime:  0.00

   173   |   3    |     FC     |  = 173/348     | runtime:  0.00

   175   |   3    |     FC     |  = 173/348     | runtime:  0.00

   176   |   3    |     FC     |  = 88/177     | runtime:  0.00

   178   |   3    |     FC     |  = 88/177     | runtime:  0.00

   179   |   3    |     FC     |  = 179/360     | runtime:  0.00

   181   |   3    |     FC     |  = 179/360     | runtime:  0.00

   182   |   3    |     FC     |  = 91/183     | runtime:  0.00

   184   |   3    |     FC     |  = 91/183     | runtime:  0.00

   185   |   3    |     FC     |  = 185/372     | runtime:  0.00

   187   |   3    |     FC     |  = 185/372     | runtime:  0.00

   188   |   3    |     FC     |  = 94/189     | runtime:  0.00

   190   |   3    |     FC     |  = 94/189     | runtime:  0.00

   191   |   3    |     FC     |  = 191/384     | runtime:  0.00

   193   |   3    |     FC     |  = 191/384     | runtime:  0.00

   194   |   3    |     FC     |  = 97/195     | runtime:  0.00

   196   |   3    |     FC     |  = 97/195     | runtime:  0.00

   197   |   3    |     FC     |  = 197/396     | runtime:  0.00

   199   |   3    |     FC     |  = 197/396     | runtime:  0.00

   200   |   3    |     FC     |  = 100/201     | runtime:  0.00

   202   |   3    |     FC     |  = 100/201     | runtime:  0.00

   203   |   3    |     FC     |  = 203/408     | runtime:  0.00

   205   |   3    |     FC     |  = 203/408     | runtime:  0.00

   206   |   3    |     FC     |  = 103/207     | runtime:  0.00

   208   |   3    |     FC     |  = 103/207     | runtime:  0.00

   209   |   3    |     FC     |  = 209/420     | runtime:  0.00

   5   |   4    |     FC     |  = 3/8     | runtime:  0.00

   7   |   4    |     FC     |  = 5/12     | runtime:  0.00

   9   |   4    |     FC     |  = 7/16     | runtime:  0.00

   11   |   4    |     FC     |  = 9/20     | runtime:  0.00

   13   |   4    |     FC     |  = 11/24     | runtime:  0.00

   15   |   4    |     FC     |  = 13/28     | runtime:  0.00

   17   |   4    |     FC     |  = 15/32     | runtime:  0.00

   19   |   4    |     FC     |  = 17/36     | runtime:  0.00

   21   |   4    |     FC     |  = 19/40     | runtime:  0.00

   23   |   4    |     FC     |  = 21/44     | runtime:  0.00

   25   |   4    |     FC     |  = 23/48     | runtime:  0.00

   27   |   4    |     FC     |  = 25/52     | runtime:  0.00

   29   |   4    |     FC     |  = 27/56     | runtime:  0.00

   31   |   4    |     FC     |  = 29/60     | runtime:  0.00

   33   |   4    |     FC     |  = 31/64     | runtime:  0.00

   35   |   4    |     FC     |  = 33/68     | runtime:  0.00

   37   |   4    |     FC     |  = 35/72     | runtime:  0.00

   39   |   4    |     FC     |  = 37/76     | runtime:  0.00

   41   |   4    |     FC     |  = 39/80     | runtime:  0.00

   43   |   4    |     FC     |  = 41/84     | runtime:  0.00

   45   |   4    |     FC     |  = 43/88     | runtime:  0.00

   47   |   4    |     FC     |  = 45/92     | runtime:  0.00

   49   |   4    |     FC     |  = 47/96     | runtime:  0.00

   51   |   4    |     FC     |  = 49/100     | runtime:  0.00

   53   |   4    |     FC     |  = 51/104     | runtime:  0.00

   55   |   4    |     FC     |  = 53/108     | runtime:  0.00

   57   |   4    |     FC     |  = 55/112     | runtime:  0.00

   59   |   4    |     FC     |  = 57/116     | runtime:  0.00

   61   |   4    |     FC     |  = 59/120     | runtime:  0.00

   63   |   4    |     FC     |  = 61/124     | runtime:  0.00

   65   |   4    |     FC     |  = 63/128     | runtime:  0.00

   67   |   4    |     FC     |  = 65/132     | runtime:  0.00

   69   |   4    |     FC     |  = 67/136     | runtime:  0.00

   71   |   4    |     FC     |  = 69/140     | runtime:  0.00

   73   |   4    |     FC     |  = 71/144     | runtime:  0.00

   75   |   4    |     FC     |  = 73/148     | runtime:  0.00

   77   |   4    |     FC     |  = 75/152     | runtime:  0.00

   79   |   4    |     FC     |  = 77/156     | runtime:  0.00

   81   |   4    |     FC     |  = 79/160     | runtime:  0.00

   83   |   4    |     FC     |  = 81/164     | runtime:  0.00

   85   |   4    |     FC     |  = 83/168     | runtime:  0.00

   87   |   4    |     FC     |  = 85/172     | runtime:  0.00

   89   |   4    |     FC     |  = 87/176     | runtime:  0.00

   91   |   4    |     FC     |  = 89/180     | runtime:  0.00

   93   |   4    |     FC     |  = 91/184     | runtime:  0.00

   95   |   4    |     FC     |  = 93/188     | runtime:  0.00

   97   |   4    |     FC     |  = 95/192     | runtime:  0.00

   99   |   4    |     FC     |  = 97/196     | runtime:  0.00

   101   |   4    |     FC     |  = 99/200     | runtime:  0.00

   103   |   4    |     FC     |  = 101/204     | runtime:  0.00

   105   |   4    |     FC     |  = 103/208     | runtime:  0.00

   107   |   4    |     FC     |  = 105/212     | runtime:  0.00

   109   |   4    |     FC     |  = 107/216     | runtime:  0.00

   111   |   4    |     FC     |  = 109/220     | runtime:  0.00

   113   |   4    |     FC     |  = 111/224     | runtime:  0.00

   115   |   4    |     FC     |  = 113/228     | runtime:  0.00

   117   |   4    |     FC     |  = 115/232     | runtime:  0.00

   119   |   4    |     FC     |  = 117/236     | runtime:  0.00

   121   |   4    |     FC     |  = 119/240     | runtime:  0.00

   123   |   4    |     FC     |  = 121/244     | runtime:  0.00

   125   |   4    |     FC     |  = 123/248     | runtime:  0.00

   127   |   4    |     FC     |  = 125/252     | runtime:  0.00

   129   |   4    |     FC     |  = 127/256     | runtime:  0.00

   131   |   4    |     FC     |  = 129/260     | runtime:  0.00

   133   |   4    |     FC     |  = 131/264     | runtime:  0.00

   135   |   4    |     FC     |  = 133/268     | runtime:  0.00

   137   |   4    |     FC     |  = 135/272     | runtime:  0.00

   139   |   4    |     FC     |  = 137/276     | runtime:  0.00

   141   |   4    |     FC     |  = 139/280     | runtime:  0.00

   143   |   4    |     FC     |  = 141/284     | runtime:  0.00

   145   |   4    |     FC     |  = 143/288     | runtime:  0.00

   147   |   4    |     FC     |  = 145/292     | runtime:  0.00

   149   |   4    |     FC     |  = 147/296     | runtime:  0.00

   151   |   4    |     FC     |  = 149/300     | runtime:  0.00

   153   |   4    |     FC     |  = 151/304     | runtime:  0.00

   155   |   4    |     FC     |  = 153/308     | runtime:  0.00

   157   |   4    |     FC     |  = 155/312     | runtime:  0.00

   159   |   4    |     FC     |  = 157/316     | runtime:  0.00

   161   |   4    |     FC     |  = 159/320     | runtime:  0.00

   163   |   4    |     FC     |  = 161/324     | runtime:  0.00

