   m    |   s    |                   Method(s)                  |        α        |       runtime   
  83    |  3     |   FC                                         |  =     83/168   |  multi: 0.00  -  solv: 0.00  - runtime:  0.16 
  85    |  3     |   FC                                         |  =     83/168   |  multi: 0.00  -  solv: 0.00  - runtime:  0.31 
  86    |  3     |   FC                                         |  =     43/87    |  multi: 0.00  -  solv: 0.00  - runtime:  0.23 
  88    |  3     |   FC                                         |  =     43/87    |  multi: 0.00  -  solv: 0.00  - runtime:  0.36 
  89    |  3     |   FC                                         |  =     89/180   |  multi: 0.00  -  solv: 0.00  - runtime:  0.18 
  91    |  3     |   FC                                         |  =     89/180   |  multi: 0.00  -  solv: 0.00  - runtime:  0.36 
  92    |  3     |   FC                                         |  =     46/93    |  multi: 0.00  -  solv: 0.00  - runtime:  0.21 
  94    |  3     |   FC                                         |  =     46/93    |  multi: 0.00  -  solv: 0.00  - runtime:  0.32 
  95    |  3     |   FC                                         |  =     95/192   |  multi: 0.00  -  solv: 0.00  - runtime:  0.30 
  97    |  3     |   FC                                         |  =     95/192   |  multi: 0.00  -  solv: 0.00  - runtime:  0.37 
  98    |  3     |   FC                                         |  =     49/99    |  multi: 0.00  -  solv: 0.00  - runtime:  0.21 
  100   |  3     |   FC                                         |  =     49/99    |  multi: 0.00  -  solv: 0.00  - runtime:  0.33 
  101   |  3     |   FC                                         |  =    101/204   |  multi: 0.00  -  solv: 0.00  - runtime:  0.35 
  103   |  3     |   FC                                         |  =    101/204   |  multi: 0.00  -  solv: 0.00  - runtime:  0.40 
  104   |  3     |   FC                                         |  =     52/105   |  multi: 0.00  -  solv: 0.00  - runtime:  0.36 
  106   |  3     |   FC                                         |  =     52/105   |  multi: 0.00  -  solv: 0.00  - runtime:  0.43 
  107   |  3     |   FC                                         |  =    107/216   |  multi: 0.00  -  solv: 0.00  - runtime:  0.30 
  109   |  3     |   FC                                         |  =    107/216   |  multi: 0.00  -  solv: 0.00  - runtime:  0.54 
  110   |  3     |   FC                                         |  =     55/111   |  multi: 0.00  -  solv: 0.00  - runtime:  0.27 
  5     |  4     |   FC  INT  HALF  EBM  HBM  MID               |  =      3/8     |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  7     |  4     |   FC  INT  HALF            MID               |  =      5/12    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  9     |  4     |   FC  INT  HALF            MID               |  =      7/16    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  11    |  4     |   FC  INT  HALF            MID               |  =      9/20    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  13    |  4     |   FC  INT  HALF            MID               |  =     11/24    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  15    |  4     |   FC  INT  HALF            MID               |  =     13/28    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  17    |  4     |   FC  INT  HALF            MID               |  =     15/32    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  19    |  4     |   FC  INT  HALF            MID               |  =     17/36    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  21    |  4     |   FC  INT  HALF            MID               |  =     19/40    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  23    |  4     |   FC  INT  HALF            MID               |  =     21/44    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  25    |  4     |   FC  INT  HALF            MID               |  =     23/48    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  27    |  4     |   FC  INT  HALF            MID               |  =     25/52    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  29    |  4     |   FC  INT  HALF            MID               |  =     27/56    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  31    |  4     |   FC  INT  HALF            MID               |  =     29/60    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  33    |  4     |   FC  INT  HALF            MID               |  =     31/64    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  35    |  4     |   FC  INT  HALF            MID               |  =     33/68    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  37    |  4     |   FC  INT  HALF            MID               |  =     35/72    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  39    |  4     |   FC  INT  HALF            MID               |  =     37/76    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  41    |  4     |   FC  INT  HALF            MID               |  =     39/80    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  43    |  4     |   FC  INT  HALF            MID               |  =     41/84    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  45    |  4     |   FC  INT  HALF            MID               |  =     43/88    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  47    |  4     |   FC  INT  HALF            MID               |  =     45/92    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  49    |  4     |   FC  INT  HALF            MID               |  =     47/96    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  51    |  4     |   FC  INT  HALF            MID               |  =     49/100   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  53    |  4     |   FC  INT  HALF            MID               |  =     51/104   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  55    |  4     |   FC  INT  HALF            MID               |  =     53/108   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  57    |  4     |   FC  INT  HALF            MID               |  =     55/112   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  59    |  4     |   FC  INT  HALF            MID               |  =     57/116   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  61    |  4     |   FC  INT  HALF            MID               |  =     59/120   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  63    |  4     |   FC  INT  HALF            MID               |  =     61/124   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  65    |  4     |   FC  INT  HALF            MID               |  =     63/128   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  67    |  4     |   FC  INT  HALF            MID               |  =     65/132   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  69    |  4     |   FC  INT  HALF            MID               |  =     67/136   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  71    |  4     |   FC  INT  HALF            MID               |  =     69/140   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  73    |  4     |   FC  INT  HALF            MID               |  =     71/144   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  75    |  4     |   FC  INT  HALF            MID               |  =     73/148   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  77    |  4     |   FC  INT  HALF            MID               |  =     75/152   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  79    |  4     |   FC  INT  HALF            MID               |  =     77/156   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  81    |  4     |   FC  INT  HALF            MID               |  =     79/160   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  83    |  4     |   FC  INT  HALF            MID               |  =     81/164   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  85    |  4     |   FC  INT  HALF            MID               |  =     83/168   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  87    |  4     |   FC  INT  HALF            MID               |  =     85/172   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  89    |  4     |   FC  INT  HALF            MID               |  =     87/176   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  91    |  4     |   FC  INT  HALF            MID               |  =     89/180   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  93    |  4     |   FC  INT  HALF            MID               |  =     91/184   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  95    |  4     |   FC  INT  HALF            MID               |  =     93/188   |  multi: 0.00  -  solv: 0.00  - runtime:  0.02 
  97    |  4     |   FC  INT  HALF            MID               |  =     95/192   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  99    |  4     |   FC  INT  HALF            MID               |  =     97/196   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  101   |  4     |   FC  INT  HALF            MID               |  =     99/200   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  103   |  4     |   FC  INT  HALF            MID               |  =    101/204   |  multi: 0.00  -  solv: 0.00  - runtime:  0.02 
  105   |  4     |   FC  INT  HALF            MID               |  =    103/208   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  107   |  4     |   FC  INT  HALF            MID               |  =    105/212   |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  109   |  4     |   FC  INT  HALF            MID               |  =    107/216   |  multi: 0.00  -  solv: 0.00  - runtime:  0.02 
  6     |  5     |   FC                       MID               |  =      2/5     |  multi: 0.00  -  solv: 0.00  - runtime:  0.03 
  7     |  5     |   FC             EBM                         |  =      1/3     |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  8     |  5     |   FC                                         |  =      2/5     |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  9     |  5     |   FC                                         |  =      2/5     |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  11    |  5     |       INT  HALF            MID               |  =     13/30    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  12    |  5     |   FC                                         |  =      2/5     |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  13    |  5     |   FC                                         |  =     13/30    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  14    |  5     |   FC                                         |  =     11/25    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  16    |  5     |   FC  INT                  MID               |  =     16/35    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  17    |  5     |   FC                                         |  =     13/30    |  multi: 0.00  -  solv: 0.00  - runtime:  0.02 
  18    |  5     |   FC                                         |  =      9/20    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  19    |  5     |   FC                                         |  =     16/35    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  21    |  5     |   FC                                         |  =      7/15    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  22    |  5     |   FC                                         |  =      9/20    |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  23    |  5     |   FC                                         |  =     23/50    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  24    |  5     |   FC                                         |  =      7/15    |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  26    |  5     |   FC                                         |  =     26/55    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  27    |  5     |   FC                                         |  =     23/50    |  multi: 0.00  -  solv: 0.00  - runtime:  0.06 
  28    |  5     |   FC                                         |  =      7/15    |  multi: 0.00  -  solv: 0.00  - runtime:  0.02 
  29    |  5     |   FC                                         |  =     26/55    |  multi: 0.00  -  solv: 0.00  - runtime:  0.08 
  31    |  5     |   FC                                         |  =     31/65    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  32    |  5     |   FC                                         |  =      7/15    |  multi: 0.00  -  solv: 0.00  - runtime:  0.06 
  33    |  5     |   FC                                         |  =     33/70    |  multi: 0.00  -  solv: 0.00  - runtime:  0.03 
  34    |  5     |   FC                                         |  =     31/65    |  multi: 0.00  -  solv: 0.00  - runtime:  0.08 
  36    |  5     |   FC                                         |  =     12/25    |  multi: 0.00  -  solv: 0.00  - runtime:  0.02 
  37    |  5     |   FC                                         |  =     33/70    |  multi: 0.00  -  solv: 0.00  - runtime:  0.13 
  38    |  5     |   FC                                         |  =     19/40    |  multi: 0.00  -  solv: 0.00  - runtime:  0.03 
  39    |  5     |   FC                                         |  =     12/25    |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  41    |  5     |   FC                                         |  =     41/85    |  multi: 0.00  -  solv: 0.00  - runtime:  0.02 
  42    |  5     |   FC                                         |  =     19/40    |  multi: 0.00  -  solv: 0.00  - runtime:  0.07 
  43    |  5     |   FC                                         |  =     43/90    |  multi: 0.00  -  solv: 0.00  - runtime:  0.03 
  44    |  5     |   FC                                         |  =     41/85    |  multi: 0.00  -  solv: 0.00  - runtime:  0.12 
  46    |  5     |   FC                                         |  =     46/95    |  multi: 0.00  -  solv: 0.00  - runtime:  0.06 
  47    |  5     |   FC                                         |  =     43/90    |  multi: 0.00  -  solv: 0.00  - runtime:  0.09 
  48    |  5     |   FC                                         |  =     12/25    |  multi: 0.00  -  solv: 0.00  - runtime:  0.07 
  49    |  5     |   FC                                         |  =     46/95    |  multi: 0.00  -  solv: 0.00  - runtime:  0.05 
  51    |  5     |   FC                                         |  =     17/35    |  multi: 0.00  -  solv: 0.00  - runtime:  0.08 
  52    |  5     |   FC                                         |  =     12/25    |  multi: 0.00  -  solv: 0.00  - runtime:  0.12 
  53    |  5     |   FC                                         |  =     53/110   |  multi: 0.00  -  solv: 0.00  - runtime:  0.08 
  54    |  5     |   FC                                         |  =     17/35    |  multi: 0.00  -  solv: 0.00  - runtime:  0.09 
  56    |  5     |   FC                                         |  =     56/115   |  multi: 0.00  -  solv: 0.00  - runtime:  0.06 
  57    |  5     |   FC                                         |  =     53/110   |  multi: 0.00  -  solv: 0.00  - runtime:  0.11 
  58    |  5     |   FC                                         |  =     29/60    |  multi: 0.00  -  solv: 0.00  - runtime:  0.05 
  59    |  5     |   FC                                         |  =     56/115   |  multi: 0.00  -  solv: 0.00  - runtime:  0.12 
  61    |  5     |   FC                                         |  =     61/125   |  multi: 0.00  -  solv: 0.00  - runtime:  0.07 
  62    |  5     |   FC                                         |  =     29/60    |  multi: 0.00  -  solv: 0.00  - runtime:  0.17 
  63    |  5     |   FC                                         |  =     63/130   |  multi: 0.00  -  solv: 0.00  - runtime:  0.06 
  64    |  5     |   FC                                         |  =     61/125   |  multi: 0.00  -  solv: 0.00  - runtime:  0.12 
  66    |  5     |   FC                                         |  =     22/45    |  multi: 0.00  -  solv: 0.00  - runtime:  0.05 
  67    |  5     |   FC                                         |  =     63/130   |  multi: 0.00  -  solv: 0.00  - runtime:  0.19 
  68    |  5     |   FC                                         |  =     17/35    |  multi: 0.00  -  solv: 0.00  - runtime:  0.12 
  69    |  5     |   FC                                         |  =     22/45    |  multi: 0.00  -  solv: 0.00  - runtime:  0.16 
  71    |  5     |   FC                                         |  =     71/145   |  multi: 0.00  -  solv: 0.00  - runtime:  0.05 
  72    |  5     |   FC                                         |  =     17/35    |  multi: 0.00  -  solv: 0.00  - runtime:  0.20 
  73    |  5     |   FC                                         |  =     73/150   |  multi: 0.00  -  solv: 0.00  - runtime:  0.09 
  74    |  5     |   FC                                         |  =     71/145   |  multi: 0.00  -  solv: 0.00  - runtime:  0.16 
  76    |  5     |   FC                                         |  =     76/155   |  multi: 0.00  -  solv: 0.00  - runtime:  0.09 
  77    |  5     |   FC                                         |  =     73/150   |  multi: 0.00  -  solv: 0.00  - runtime:  0.15 
  78    |  5     |   FC                                         |  =     39/80    |  multi: 0.00  -  solv: 0.00  - runtime:  0.10 
  79    |  5     |   FC                                         |  =     76/155   |  multi: 0.00  -  solv: 0.00  - runtime:  0.13 
  81    |  5     |   FC                                         |  =     27/55    |  multi: 0.00  -  solv: 0.00  - runtime:  0.08 
  82    |  5     |   FC                                         |  =     39/80    |  multi: 0.00  -  solv: 0.00  - runtime:  0.16 
  83    |  5     |   FC                                         |  =     83/170   |  multi: 0.00  -  solv: 0.00  - runtime:  0.10 
  84    |  5     |   FC                                         |  =     27/55    |  multi: 0.00  -  solv: 0.00  - runtime:  0.10 
  86    |  5     |   FC                                         |  =     86/175   |  multi: 0.00  -  solv: 0.00  - runtime:  0.08 
  87    |  5     |   FC                                         |  =     83/170   |  multi: 0.00  -  solv: 0.00  - runtime:  0.24 
  88    |  5     |   FC                                         |  =     22/45    |  multi: 0.00  -  solv: 0.00  - runtime:  0.15 
  89    |  5     |   FC                                         |  =     86/175   |  multi: 0.00  -  solv: 0.00  - runtime:  0.15 
