
   m    |   s    |                   Method(s)                  |        α        |       runtime
  37    |  4     |   FC  INT  HALF                 GAP          |  =     35/72    | 0.00 sec
  39    |  4     |   FC  INT  HALF                 GAP          |  =     37/76    | 0.02 sec
  41    |  4     |   FC  INT  HALF                 GAP          |  =     39/80    | 0.02 sec
  43    |  4     |   FC  INT  HALF                 GAP          |  =     41/84    | 0.00 sec
  45    |  4     |   FC  INT  HALF                 GAP          |  =     43/88    | 0.01 sec
  47    |  4     |   FC  INT  HALF                 GAP          |  =     45/92    | 0.00 sec
  49    |  4     |   FC  INT  HALF                 GAP          |  =     47/96    | 0.02 sec
  51    |  4     |   FC  INT  HALF                 GAP          |  =     49/100   | 0.02 sec
  53    |  4     |   FC  INT  HALF                 GAP          |  =     51/104   | 0.01 sec
  55    |  4     |   FC  INT  HALF                 GAP          |  =     53/108   | 0.00 sec
  57    |  4     |   FC  INT  HALF                 GAP          |  =     55/112   | 0.00 sec
  59    |  4     |   FC  INT  HALF                 GAP          |  =     57/116   | 0.02 sec
  61    |  4     |   FC  INT  HALF                 GAP          |  =     59/120   | 0.02 sec
  63    |  4     |   FC  INT  HALF                 GAP          |  =     61/124   | 0.02 sec
  65    |  4     |   FC  INT  HALF                 GAP          |  =     63/128   | 0.01 sec
  67    |  4     |   FC  INT  HALF                 GAP          |  =     65/132   | 0.02 sec
  69    |  4     |   FC  INT  HALF                 GAP          |  =     67/136   | 0.02 sec
  71    |  4     |   FC  INT  HALF                 GAP          |  =     69/140   | 0.01 sec
  73    |  4     |   FC  INT  HALF                 GAP          |  =     71/144   | 0.02 sec
  75    |  4     |   FC  INT  HALF                 GAP          |  =     73/148   | 0.02 sec
  77    |  4     |   FC  INT  HALF                 GAP          |  =     75/152   | 0.02 sec
  79    |  4     |   FC  INT  HALF                 GAP          |  =     77/156   | 0.02 sec
  81    |  4     |   FC  INT  HALF                 GAP          |  =     79/160   | 0.01 sec
  83    |  4     |   FC  INT  HALF                 GAP          |  =     81/164   | 0.02 sec
  85    |  4     |   FC  INT  HALF                 GAP          |  =     83/168   | 0.01 sec
  87    |  4     |   FC  INT  HALF                 GAP          |  =     85/172   | 0.02 sec
  89    |  4     |   FC  INT  HALF                 GAP          |  =     87/176   | 0.04 sec
  91    |  4     |   FC  INT  HALF                 GAP          |  =     89/180   | 0.02 sec
  93    |  4     |   FC  INT  HALF                 GAP          |  =     91/184   | 0.00 sec
  95    |  4     |   FC  INT  HALF                 GAP          |  =     93/188   | 0.02 sec
  97    |  4     |   FC  INT  HALF                 GAP          |  =     95/192   | 0.03 sec
  99    |  4     |   FC  INT  HALF                 GAP          |  =     97/196   | 0.02 sec
  101   |  4     |   FC  INT  HALF                 GAP          |  =     99/200   | 0.02 sec
  103   |  4     |   FC  INT  HALF                 GAP          |  =    101/204   | 0.03 sec
  105   |  4     |   FC  INT  HALF                 GAP          |  =    103/208   | 0.02 sec
  107   |  4     |   FC  INT  HALF                 GAP          |  =    105/212   | 0.03 sec
  109   |  4     |   FC  INT  HALF                 GAP          |  =    107/216   | 0.02 sec
  6     |  5     |   FC                                         |  =      2/5     | 0.03 sec
  7     |  5     |   FC             EBM            GAP          |  =      1/3     | 0.04 sec
  8     |  5     |   FC                            GAP          |  =      2/5     | 0.00 sec
  9     |  5     |   FC                            GAP          |  =      2/5     | 0.03 sec
  11    |  5     |       INT  HALF            MID  GAP          |  =     13/30    | 0.00 sec
  12    |  5     |   FC                            GAP          |  =      2/5     | 0.00 sec
  13    |  5     |   FC                            GAP          |  =     13/30    | 0.02 sec
  14    |  5     |   FC                            GAP          |  =     11/25    | 0.03 sec
  16    |  5     |   FC  INT                  MID  GAP  TRAIN   |  =     16/35    | 0.00 sec
